Intersecti,Intersec_1,the_geom,NodeNumber,TurnRestri,P_X,P_Y,Street1,Street2,EditDate,created_us,created_da,last_edite,last_edi_1,GlobalID
Irving St & Kirkland St,2,POINT (-71.11064339852972 42.377362667819334),826,,761370.2,2962780.67,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{C291B9BB-641C-48B6-94D4-77ECCC71C06F}
Grozier Rd & Parkway Ter,2,POINT (-71.14133602069819 42.37745622405267),827,,753077.01,2962778.4,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{7D309F04-3047-4012-941A-17BDA905F350}
Appleton St & Brattle St,2,POINT (-71.13337957011194 42.37742757568594),828,,755226.86,2962777.1,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{5FF8FE36-E6A6-467D-8B7C-34377F596BD0}
Brattle St & Lowell St,2,POINT (-71.13372472397486 42.37738323336341),829,,755133.67,2962760.54,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{559C2E6F-9850-470D-B1F2-80D8AC7634C8}
Garden St & Waterhouse St,2,POINT (-71.12286283155905 42.37730714121562),830,,758068.64,2962745.6,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{BB0D6E91-B0E6-4707-B8AF-D9D21CAA1B8F}
Brattle St & Kennedy Rd,2,POINT (-71.13440183853906 42.37729093639927),831,,754950.86,2962726.12,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{29AACC33-1600-4A15-947E-AE909D891CF5}
Berkeley St & Phillips Pl,2,POINT (-71.12395205372715 42.37722964704383),832,,757774.46,2962716.06,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{CD276882-0E91-410A-993B-95886973EDBC}
Francis Ave & Kirkland Rd & Kirkland St,3,POINT (-71.11149528558055 42.377183780607226),833,,761140.32,2962714.43,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{96A63916-509B-4C84-B437-4F8ECB17F1C0}
Fresh Pond Ln & Meadow Way,2,POINT (-71.14414178928453 42.37728583218325),834,,752319.16,2962713.13,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{9EEBF7CF-A4C8-43E8-96A4-5F26050458CF}
Corcoran Ln & St Sauveur Ct,2,POINT (-71.15405221301388 42.37731249423476),835,,749641.35,2962711.83,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{14B7E488-8DB5-4E9D-91AE-ED3B4265AA05}
Francis Ave & Kirkland Rd & Kirkland St,3,POINT (-71.1115807437901 42.3771653546115),836,,761117.26,2962707.61,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{A91C6185-E5D0-420B-9CE6-190154D2E697}
Larchwood Dr & Meadow Way,2,POINT (-71.14302312941848 42.37726543546533),837,,752621.45,2962706.96,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{5725044D-5018-4E22-9D48-A48605655CBE}
Brattle St & Brown St,2,POINT (-71.12835654180083 42.37719761295796),838,,756584.43,2962699.17,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{DF0DE94B-66D7-4E91-BDC4-3AA702272DFB}
Cushing St & St Sauveur Ct,2,POINT (-71.15189820434253 42.37719642602694),841,,750223.53,2962671.9,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{B697CAFF-9B2F-4964-A126-A5E95EAC729D}
Hastings Ave & St Johns Rd,2,POINT (-71.12449979688311 42.37706838361069),842,,757626.72,2962656.64,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{24D6D09E-55A8-4EB2-9C7C-5B4FFF0C4612}
Phillips Pl & St Johns Rd,2,POINT (-71.12426789751659 42.37706136995894),843,,757689.39,2962654.36,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{322FCFF3-7427-4603-82FD-EFE36C73DEA3}
Kirkland St & Sumner Rd,2,POINT (-71.1123339870142 42.377005748206614),844,,760914,2962648.52,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{524D7CBB-F872-4986-AE53-684DA2623893}
Holworthy Pl & Park Ave,2,POINT (-71.14932457556031 42.377115535182796),846,,750919.04,2962645.27,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{A36C460A-5C2F-4B26-9D7F-3F3F009B12D5}
Magnolia Ave & Roberts Rd,2,POINT (-71.1082892895964 42.37696353619769),847,,762006.94,2962638.13,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{CFE55762-1BA1-41B2-A238-F263B1788299}
Brattle St & Channing Pl & Channing St,3,POINT (-71.13591257399594 42.37704892612231),848,,754543.04,2962636.18,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{F210F381-96C9-436C-B085-90D8CDC37F4A}
Fresh Pond Pkwy & Grozier Rd,2,POINT (-71.14132622105846 42.377063270524225),849,,753080.26,2962635.21,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{1FA28DCE-16DF-43E6-948B-3FCFDC6B804D}
Kirkland Pl & Kirkland St,2,POINT (-71.11266246695146 42.37693646923285),850,,760825.36,2962622.87,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{584988EC-1907-4DE6-ADEB-9D7E4EAF26E9}
Emmons Pl & Roberts Rd,2,POINT (-71.10830777104457 42.37688964638434),852,,762002.07,2962611.18,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{55F881D7-8CD4-44DF-890D-C79510A6129C}
Lamont Ave & Magnolia Ave,2,POINT (-71.10769255645715 42.37687775368944),853,,762168.32,2962607.61,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{3A517692-0B38-400A-935E-7D1AC9512C5F}
Hovey Ave & Magnolia Ave,2,POINT (-71.10735274602412 42.376833814281255),855,,762260.21,2962592.02,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{556469CA-64D5-4EFC-B62B-4D12D3A9398E}
Holworthy St & Park Ave,2,POINT (-71.15043964501594 42.3769148800766),858,,750618.05,2962570.91,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{627AD021-86D5-49A0-BE0F-ACE65D581C60}
Aberdeen Ave & Aberdeen Way,2,POINT (-71.14654261818515 42.37689674351389),862,,751671.05,2962568.64,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{235570AC-6D3F-4457-8C00-899F03D3DEA6}
Cambridge St & Massachusetts Ave,2,POINT (-71.11980267595801 42.37679901964167),859,,758896.31,2962564.1,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{4DE90FA7-52CA-4A9A-A58F-3E57B6B5DA2F}
Brattle St & Willard St,2,POINT (-71.12764860026506 42.376810413150636),860,,756776.33,2962558.9,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{19B87B5B-6B3A-4381-A7E3-E432C483A8F7}
Line St & Magnolia Ave,2,POINT (-71.10580800519308 42.37672516226182),863,,762677.78,2962554.35,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{2129D2AB-BCFD-4D9A-B4F3-126B86A9263C}
Magnolia Ave & Myrtle Ave,2,POINT (-71.10648578876662 42.376721253705085),864,,762494.65,2962552.08,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{A457E4A6-B3A0-4378-9366-0BE29BAEEFFD}
Brattle St & Elmwood Ave & Fayerweather St,3,POINT (-71.13730791646616 42.37681720670511),865,,754166.38,2962550.13,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{ABB5A6F1-5346-4A21-A253-5B948C4318F7}
Hubbard Park Rd & Mercer Cir & Sparks St,3,POINT (-71.13031436072266 42.37674950333455),868,,756056.14,2962533.57,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{B8CCCDD7-4A2D-4815-9E3B-5C3DE50DE37C}
Divinity Ave & Kirkland St,2,POINT (-71.11381399444383 42.37669351143919),869,,760514.62,2962532.92,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{A8D9E152-FAA2-44DE-B42F-6575FA53C7DD}
Kirkland St & Quincy St,2,POINT (-71.11408115074394 42.37663560252205),873,,760442.53,2962511.49,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{F2591CC0-923B-404E-BBB2-050043C20507}
Larchwood Dr & Old Dee Rd,2,POINT (-71.14480844242948 42.37670074444689),876,,752139.92,2962499.16,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{45303A4B-7E7A-4CE0-98DE-4443CB272EBD}
Fresh Pond Ln & Larchwood Dr,2,POINT (-71.14409131385075 42.37664682980503),878,,752333.77,2962480.32,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{51F0A65D-D508-4300-92EA-9A06A3E46A8D}
Garden St & Mason St,2,POINT (-71.12218469736483 42.37656360557342),879,,758253.07,2962475.45,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{771CE236-BF53-49E7-B989-A3F06B7F49F3}
